日期,天气状况,最低气温/最高气温,风力风向(夜间/白天)
2021年03月01日,多云  /多云,-5℃  /  5℃,南风 1-2级  /南风 1-2级
2021年03月02日,晴  /晴,-4℃  /  8℃,南风 1-2级  /南风 1-2级
2021年03月03日,多云  /阴,-1℃  /  9℃,南风 1-2级  /南风 1-2级
2021年03月04日,多云  /多云,3℃  /  10℃,西南风 1-2级  /西南风 1-2级
2021年03月05日,小雨  /多云,-2℃  /  8℃,东风 3-4级  /东风 3-4级
2021年03月06日,多云  /晴,-4℃  /  4℃,西南风 1-2级  /西南风 1-2级
2021年03月07日,多云  /多云,-2℃  /  8℃,西南风 1-2级  /西南风 1-2级
2021年03月08日,多云  /多云,1℃  /  10℃,西南风 1-2级  /西南风 1-2级
2021年03月09日,晴  /多云,3℃  /  15℃,南风 1-2级  /南风 1-2级
2021年03月10日,霾  /阴,7℃  /  15℃,西南风 1-2级  /西南风 1-2级
2021年03月11日,霾  /阴,7℃  /  14℃,南风 1-2级  /南风 1-2级
2021年03月12日,小雨  /阴,6℃  /  12℃,东风 1-2级  /东风 1-2级
2021年03月13日,霾  /阴,8℃  /  16℃,南风 1-2级  /南风 1-2级
2021年03月14日,霾  /多云,9℃  /  13℃,南风 3-4级  /南风 3-4级
2021年03月15日,沙尘暴  /晴,2℃  /  15℃,北风 3-4级  /北风 3-4级
2021年03月16日,浮尘  /多云,3℃  /  14℃,南风 1-2级  /南风 1-2级
2021年03月17日,多云  /阴,4℃  /  13℃,南风 1-2级  /南风 1-2级
2021年03月18日,小雨  /多云,2℃  /  10℃,东风 1-2级  /东风 1-2级
2021年03月19日,小雨  /小雨,5℃  /  11℃,西南风 1-2级  /西南风 1-2级
2021年03月20日,浮尘  /晴,3℃  /  15℃,西北风 3-4级  /西北风 3-4级
2021年03月21日,晴  /晴,0℃  /  13℃,西北风 3-4级  /西北风 3-4级
2021年03月22日,晴  /晴,4℃  /  18℃,西南风 1-2级  /西南风 1-2级
2021年03月23日,多云  /多云,8℃  /  21℃,西南风 3-4级  /西南风 3-4级
2021年03月24日,晴  /晴,7℃  /  21℃,北风 1-2级  /北风 1-2级
2021年03月25日,多云  /多云,11℃  /  22℃,南风 1-2级  /南风 1-2级
2021年03月26日,小雨  /阴,9℃  /  15℃,北风 1-2级  /北风 1-2级
2021年03月27日,霾  /浮尘,10℃  /  20℃,南风 1-2级  /南风 1-2级
2021年03月28日,沙尘暴  /晴,9℃  /  18℃,西北风 3-4级  /西北风 3-4级
2021年03月29日,多云  /晴,6℃  /  18℃,西南风 3-4级  /西南风 3-4级
2021年03月30日,多云  /多云,9℃  /  21℃,南风 1-2级  /南风 1-2级
2021年03月31日,多云  /多云,10℃  /  24℃,东北风 3-4级  /东北风 3-4级
2021年04月01日,多云  /阴,11℃  /  18℃,东风 1-2级  /东风 1-2级
2021年04月02日,阴  /小雨,10℃  /  18℃,北风 1-2级  /北风 1-2级
2021年04月03日,多云  /晴,6℃  /  18℃,北风 1-2级  /北风 1-2级
2021年04月04日,晴  /多云,7℃  /  20℃,西南风 1-2级  /西南风 1-2级
2021年04月05日,多云  /多云,9℃  /  18℃,西南风 1-2级  /西南风 1-2级
2021年04月06日,多云  /多云,10℃  /  21℃,西南风 1-2级  /西南风 1-2级
2021年04月07日,晴  /晴,5℃  /  20℃,南风 1-2级  /南风 1-2级
2021年04月08日,晴  /多云,8℃  /  20℃,南风 1-2级  /南风 1-2级
2021年04月09日,多云  /多云,6℃  /  18℃,东风 1-2级  /东风 1-2级
2021年04月10日,多云  /多云,12℃  /  19℃,西南风 3-4级  /西南风 3-4级
2021年04月11日,多云  /多云,11℃  /  21℃,南风 1-2级  /南风 1-2级
2021年04月12日,多云  /晴,8℃  /  20℃,北风 3-4级  /北风 3-4级
2021年04月13日,晴  /晴,5℃  /  17℃,西南风 1-2级  /西南风 1-2级
2021年04月14日,晴  /多云,10℃  /  22℃,西南风 3-4级  /西南风 3-4级
2021年04月15日,扬沙  /扬沙,8℃  /  23℃,西北风 3-4级  /西北风 3-4级
2021年04月16日,晴  /晴,9℃  /  19℃,西北风 3-4级  /西北风 3-4级
2021年04月17日,晴  /晴,5℃  /  20℃,西北风 1-2级  /西北风 1-2级
2021年04月18日,晴  /晴,10℃  /  24℃,西南风 3-4级  /西南风 3-4级
2021年04月19日,晴  /多云,15℃  /  28℃,南风 1-2级  /南风 1-2级
2021年04月20日,多云  /多云,13℃  /  26℃,南风 3-4级  /南风 3-4级
2021年04月21日,阴  /小雨,11℃  /  21℃,南风 1-2级  /南风 1-2级
2021年04月22日,小雨  /多云,9℃  /  18℃,东风 1-2级  /东风 1-2级
2021年04月23日,多云  /多云,12℃  /  22℃,东风 1-2级  /东风 1-2级
2021年04月24日,多云  /多云,13℃  /  22℃,东风 1-2级  /东风 1-2级
2021年04月25日,多云  /阴,10℃  /  20℃,南风 1-2级  /南风 1-2级
2021年04月26日,小雨  /多云,8℃  /  20℃,南风 1-2级  /南风 1-2级
2021年04月27日,扬沙  /晴,11℃  /  23℃,西北风 3-4级  /西北风 3-4级
2021年04月28日,多云  /多云,11℃  /  23℃,西南风 3-4级  /西南风 3-4级
2021年04月29日,晴  /多云,8℃  /  22℃,西北风 3-4级  /西北风 3-4级
2021年04月30日,小雨  /晴,7℃  /  16℃,北风 1-2级  /北风 1-2级
2021年03月01日,小雨  /小雨,5℃  /  15℃,西北风 3-4级  /西北风 3-4级
2021年03月02日,多云  /阴,5℃  /  12℃,北风 1-2级  /北风 1-2级
2021年03月03日,阴  /小雨,8℃  /  11℃,东南风 1-2级  /东南风 1-2级
2021年03月04日,多云  /多云,8℃  /  16℃,西北风 1-2级  /西北风 1-2级
2021年03月05日,小雨  /小雨,8℃  /  14℃,东风 3-4级  /东风 3-4级
2021年03月06日,小雨  /小雨,7℃  /  10℃,东北风 3-4级  /东北风 3-4级
2021年03月07日,小雨  /阴,8℃  /  10℃,北风 3-4级  /北风 3-4级
2021年03月08日,阴  /小雨,8℃  /  12℃,东北风 3-4级  /东北风 3-4级
2021年03月09日,阴  /晴,7℃  /  11℃,东风 1-2级  /东风 1-2级
2021年03月10日,多云  /小雨,8℃  /  16℃,东风 3-4级  /东风 3-4级
2021年03月11日,小雨  /小雨,9℃  /  11℃,东南风 1-2级  /东南风 1-2级
2021年03月12日,阴  /阴,7℃  /  13℃,东北风 1-2级  /东北风 1-2级
2021年03月13日,晴  /晴,9℃  /  14℃,北风 1-2级  /北风 1-2级
2021年03月14日,晴  /多云,11℃  /  16℃,东南风 1-2级  /东南风 1-2级
2021年03月15日,小雨  /小雨,13℃  /  23℃,南风 3-4级  /南风 3-4级
2021年03月16日,小雨  /小雨,9℃  /  14℃,东北风 3-4级  /东北风 3-4级
2021年03月17日,小雨  /小雨,9℃  /  12℃,东北风 3-4级  /东北风 3-4级
2021年03月18日,阴  /小雨,11℃  /  15℃,东风 3-4级  /东风 3-4级
2021年03月19日,小雨  /小雨,11℃  /  13℃,北风 3-4级  /北风 3-4级
2021年03月20日,阴  /阴,9℃  /  13℃,西北风 3-4级  /西北风 3-4级
2021年03月21日,多云  /多云,5℃  /  14℃,北风 3-4级  /北风 3-4级
2021年03月22日,晴  /晴,7℃  /  15℃,西北风 1-2级  /西北风 1-2级
2021年03月23日,阴  /阴,9℃  /  17℃,南风 3-4级  /南风 3-4级
2021年03月24日,小雨  /多云,10℃  /  20℃,东南风 1-2级  /东南风 1-2级
2021年03月25日,晴  /多云,12℃  /  22℃,东南风 1-2级  /东南风 1-2级
2021年03月26日,阴  /小雨,15℃  /  21℃,东南风 1-2级  /东南风 1-2级
2021年03月27日,小雨  /阴,15℃  /  21℃,西风 1-2级  /西风 1-2级
2021年03月28日,晴  /晴,15℃  /  24℃,西风 1-2级  /西风 1-2级
2021年03月29日,小雨  /小雨,14℃  /  24℃,东南风 3-4级  /东南风 3-4级
2021年03月30日,阴  /小雨,13℃  /  18℃,东风 1-2级  /东风 1-2级
2021年03月31日,小雨  /小雨,13℃  /  16℃,东北风 1-2级  /东北风 1-2级
2021年04月01日,小雨  /小雨,16℃  /  20℃,东南风 1-2级  /东南风 1-2级
2021年04月02日,阴  /小雨,16℃  /  20℃,北风 1-2级  /北风 1-2级
2021年04月03日,阴  /多云,12℃  /  20℃,西北风 3-4级  /西北风 3-4级
2021年04月04日,晴  /晴,10℃  /  16℃,北风 3-4级  /北风 3-4级
2021年04月05日,多云  /阴,11℃  /  17℃,东北风 1-2级  /东北风 1-2级
2021年04月06日,多云  /阴,12℃  /  19℃,东北风 3-4级  /东北风 3-4级
2021年04月07日,小雨  /小雨,12℃  /  17℃,东风 1-2级  /东风 1-2级
2021年04月08日,多云  /晴,10℃  /  18℃,西南风 1-2级  /西南风 1-2级
2021年04月09日,晴  /晴,11℃  /  19℃,东风 1-2级  /东风 1-2级
2021年04月10日,多云  /小雨,14℃  /  19℃,东风 3-4级  /东风 3-4级
2021年04月11日,中雨  /中雨,15℃  /  17℃,东南风 4-5级  /东南风 4-5级
2021年04月12日,小雨  /阴,14℃  /  19℃,东南风 3-4级  /东南风 3-4级
2021年04月13日,阴  /多云,12℃  /  19℃,北风 3-4级  /北风 3-4级
2021年04月14日,阴  /阴,11℃  /  17℃,东北风 3-4级  /东北风 3-4级
2021年04月15日,多云  /晴,11℃  /  17℃,东南风 1-2级  /东南风 1-2级
2021年04月16日,小雨  /多云,14℃  /  22℃,北风 3-4级  /北风 3-4级
2021年04月17日,阴  /阴,10℃  /  20℃,北风 1-2级  /北风 1-2级
2021年04月18日,晴  /晴,13℃  /  20℃,南风 3-4级  /南风 3-4级
2021年04月19日,晴  /晴,13℃  /  20℃,西北风 1-2级  /西北风 1-2级
2021年04月20日,多云  /晴,16℃  /  22℃,西北风 1-2级  /西北风 1-2级
2021年04月21日,阴  /阴,17℃  /  23℃,东南风 3-4级  /东南风 3-4级
2021年04月22日,小雨  /小雨,18℃  /  23℃,东南风 4-5级  /东南风 4-5级
2021年04月23日,小雨  /小雨,17℃  /  24℃,西北风 3-4级  /西北风 3-4级
2021年04月24日,小雨  /阴,17℃  /  22℃,西北风 1-2级  /西北风 1-2级
2021年04月25日,小雨  /多云,16℃  /  23℃,东风 1-2级  /东风 1-2级
2021年04月26日,多云  /小雨,17℃  /  24℃,东南风 3-4级  /东南风 3-4级
2021年04月27日,小雨  /阴,16℃  /  18℃,南风 1-2级  /南风 1-2级
2021年04月28日,阴  /阴,18℃  /  24℃,北风 1-2级  /北风 1-2级
2021年04月29日,晴  /晴,18℃  /  27℃,西风 3-4级  /西风 3-4级
2021年04月30日,小雨  /小雨,17℃  /  29℃,南风 1-2级  /南风 1-2级
