ID,日期,天气状况,最低气温/最高气温,风力风向(夜间/白天)
0,2016年3月1日,晴  /晴,-2℃  /  10℃,无持续风向 ≤3级  /无持续风向 ≤3级
1,2016年3月2日,晴  /霾,2℃  /  17℃,无持续风向 ≤3级  /无持续风向 ≤3级
2,2016年3月3日,霾  /霾,4℃  /  17℃,无持续风向 ≤3级  /无持续风向 ≤3级
3,2016年3月4日,霾  /霾,4℃  /  12℃,无持续风向 ≤3级  /北风 3-4级
4,2016年3月5日,晴  /晴,-1℃  /  12℃,北风 4-5级  /无持续风向 ≤3级
5,2016年3月6日,多云  /晴,-2℃  /  11℃,无持续风向 ≤3级  /无持续风向 ≤3级
6,2016年3月7日,晴  /晴,-1℃  /  12℃,北风 3-4级  /北风 3-4级
7,2016年3月8日,多云  /阴,-2℃  /  6℃,北风 3-4级  /北风 3-4级
8,2016年3月9日,多云  /晴,-4℃  /  5℃,无持续风向 ≤3级  /北风 3-4级
9,2016年3月10日,晴  /晴,-4℃  /  7℃,北风 3-4级  /无持续风向 ≤3级
10,2016年3月11日,晴  /晴,-2℃  /  8℃,无持续风向 ≤3级  /无持续风向 ≤3级
11,2016年3月12日,多云  /晴,1℃  /  9℃,无持续风向 ≤3级  /北风 3-4级
12,2016年3月13日,晴  /晴,-2℃  /  12℃,北风 3-4级  /无持续风向 ≤3级
13,2016年3月14日,晴  /多云,3℃  /  15℃,无持续风向 ≤3级  /无持续风向 ≤3级
14,2016年3月15日,多云  /霾,2℃  /  15℃,无持续风向 ≤3级  /无持续风向 ≤3级
15,2016年3月16日,霾  /霾,6℃  /  17℃,无持续风向 ≤3级  /无持续风向 ≤3级
16,2016年3月17日,霾  /雾,6℃  /  18℃,无持续风向 ≤3级  /无持续风向 ≤3级
17,2016年3月18日,霾  /多云,4℃  /  21℃,无持续风向 ≤3级  /无持续风向 ≤3级
18,2016年3月19日,多云  /多云,3℃  /  16℃,无持续风向 ≤3级  /无持续风向 ≤3级
19,2016年3月20日,多云  /晴,4℃  /  16℃,无持续风向 ≤3级  /无持续风向 ≤3级
20,2016年3月21日,晴  /阴,8℃  /  20℃,无持续风向 ≤3级  /无持续风向 ≤3级
21,2016年3月22日,阴  /多云,5℃  /  14℃,无持续风向 ≤3级  /北风 3-4级
22,2016年3月23日,晴  /晴,2℃  /  15℃,北风 3-4级  /无持续风向 ≤3级
23,2016年3月24日,晴  /晴,3℃  /  15℃,无持续风向 ≤3级  /无持续风向 ≤3级
24,2016年3月25日,晴  /晴,4℃  /  15℃,无持续风向 ≤3级  /北风 3-4级
25,2016年3月26日,晴  /晴,5℃  /  19℃,北风 3-4级  /无持续风向 ≤3级
26,2016年3月27日,晴  /晴,5℃  /  21℃,无持续风向 ≤3级  /无持续风向 ≤3级
27,2016年3月28日,多云  /浮尘,8℃  /  22℃,北风 3-4级  /北风 3-4级
28,2016年3月29日,晴  /晴,7℃  /  22℃,无持续风向 ≤3级  /无持续风向 ≤3级
29,2016年3月30日,晴  /晴,7℃  /  22℃,无持续风向 ≤3级  /无持续风向 ≤3级
30,2016年3月31日,晴  /浮尘,14℃  /  24℃,南风 3-4级  /北风 3-4级
31,2017年3月1日,晴  /晴,-3℃  /  7℃,北风 4-5级  /北风 ≤3级
32,2017年3月2日,晴  /晴,-2℃  /  13℃,南风 3-4级  /南风 ≤3级
33,2017年3月3日,晴  /晴,-2℃  /  14℃,东风 ≤3级  /北风 ≤3级
34,2017年3月4日,晴  /多云,0℃  /  13℃,无持续风向 ≤3级  /北风 3-4级
35,2017年3月5日,晴  /多云,-1℃  /  11℃,西北风 4-5级  /北风 4-5级
36,2017年3月6日,多云  /晴,-3℃  /  9℃,北风 4-5级  /北风 3-4级
37,2017年3月7日,晴  /晴,-1℃  /  8℃,北风 3-4级  /北风 3-4级
38,2017年3月8日,晴  /晴,1℃  /  13℃,北风 3-4级  /北风 ≤3级
39,2017年3月9日,晴  /晴,1℃  /  15℃,南风 ≤3级  /北风 ≤3级
40,2017年3月10日,多云  /阴,3℃  /  17℃,南风 ≤3级  /南风 ≤3级
41,2017年3月11日,阴  /晴,5℃  /  20℃,北风 3-4级  /北风 4-5级
42,2017年3月12日,晴  /晴,1℃  /  13℃,北风 3-4级  /北风 ≤3级
43,2017年3月13日,晴  /晴,2℃  /  14℃,南风 ≤3级  /北风 ≤3级
44,2017年3月14日,晴  /多云,2℃  /  16℃,南风 ≤3级  /北风 ≤3级
45,2017年3月15日,多云  /多云,3℃  /  16℃,南风 ≤3级  /北风 ≤3级
46,2017年3月16日,多云  /阴,6℃  /  17℃,南风 ≤3级  /北风 ≤3级
47,2017年3月17日,阴  /阴,5℃  /  17℃,南风 ≤3级  /北风 ≤3级
48,2017年3月18日,晴  /晴,5℃  /  20℃,南风 ≤3级  /北风 ≤3级
49,2017年3月19日,多云  /阴,7℃  /  17℃,南风 ≤3级  /北风 ≤3级
50,2017年3月20日,小雨  /阴,6℃  /  12℃,东风 3-4级  /东风 ≤3级
51,2017年3月21日,多云  /多云,4℃  /  15℃,南风 ≤3级  /北风 ≤3级
52,2017年3月22日,阴  /小雨,6℃  /  15℃,北风 ≤3级  /东风 ≤3级
53,2017年3月23日,小雨  /小雨,2℃  /  10℃,东风 ≤3级  /北风 ≤3级
54,2017年3月24日,雨夹雪  /阴,0℃  /  4℃,东风 ≤3级  /北风 ≤3级
55,2017年3月25日,多云  /多云,4℃  /  13℃,南风 ≤3级  /北风 3-4级
56,2017年3月26日,多云  /晴,4℃  /  15℃,北风 3-4级  /北风 3-4级
57,2017年3月27日,晴  /多云,5℃  /  15℃,南风 ≤3级  /北风 ≤3级
58,2017年3月28日,晴  /晴,4℃  /  16℃,南风 ≤3级  /南风 ≤3级
59,2017年3月29日,晴  /多云,7℃  /  20℃,南风 ≤3级  /北风 3-4级
60,2017年3月30日,多云  /多云,5℃  /  15℃,东北风 ≤3级  /北风 ≤3级
61,2017年3月31日,晴  /晴,5℃  /  17℃,南风 ≤3级  /北风 ≤3级
62,2018年3月1日,晴  /多云,-3℃  /  8℃,西南风 <3级  /南风 <3级
63,2018年3月2日,晴  /多云,-1℃  /  10℃,北风 <3级  /北风 <3级
64,2018年3月3日,多云  /阴,3℃  /  12℃,东北风 <3级  /东北风 <3级
65,2018年3月4日,多云  /多云,-2℃  /  10℃,东南风 <3级  /西南风 <3级
66,2018年3月5日,晴  /晴,-4℃  /  8℃,南风 <3级  /东南风 <3级
67,2018年3月6日,多云  /阴,-3℃  /  6℃,东南风 <3级  /东南风 <3级
68,2018年3月7日,阴  /多云,-2℃  /  6℃,北风 <3级  /东北风 <3级
69,2018年3月8日,晴  /晴,-4℃  /  7℃,南风 <3级  /南风 <3级
70,2018年3月9日,多云  /多云,-2℃  /  10℃,西南风 <3级  /东北风 <3级
71,2018年3月10日,晴  /晴,-3℃  /  14℃,南风 <3级  /南风 <3级
72,2018年3月11日,多云  /多云,0℃  /  10℃,南风 <3级  /南风 <3级
73,2018年3月12日,多云  /晴,3℃  /  15℃,南风 <3级  /北风 <3级
74,2018年3月13日,晴  /多云,5℃  /  17℃,南风 <3级  /东北风 <3级
75,2018年3月14日,多云  /阴,6℃  /  15℃,东北风 <3级  /东北风 3～4级
76,2018年3月15日,多云  /晴,-1℃  /  12℃,北风 4～5级  /东风 <3级
77,2018年3月16日,多云  /多云,-1℃  /  10℃,南风 <3级  /南风 <3级
78,2018年3月17日,小雪  /多云,-1℃  /  3℃,南风 <3级  /南风 <3级
79,2018年3月18日,多云  /晴,1℃  /  13℃,西南风 <3级  /北风 <3级
80,2018年3月19日,多云  /多云,2℃  /  15℃,东风 <3级  /东风 <3级
81,2018年3月20日,多云  /多云,-2℃  /  10℃,西南风 <3级  /南风 <3级
82,2018年3月21日,多云  /阴,1℃  /  11℃,南风 <3级  /南风 <3级
83,2018年3月22日,晴  /多云,4℃  /  17℃,南风 <3级  /西南风 <3级
84,2018年3月23日,多云  /多云,5℃  /  19℃,东北风 <3级  /北风 <3级
85,2018年3月24日,晴  /晴,5℃  /  22℃,西南风 <3级  /西南风 <3级
86,2018年3月25日,晴  /晴,7℃  /  25℃,南风 <3级  /西南风 <3级
87,2018年3月26日,多云  /多云,8℃  /  26℃,南风 <3级  /南风 <3级
88,2018年3月27日,晴  /多云,11℃  /  27℃,南风 <3级  /东北风 <3级
89,2018年3月28日,多云  /晴,9℃  /  25℃,东风 <3级  /南风 <3级
90,2018年3月29日,晴  /晴,7℃  /  19℃,南风 <3级  /南风 <3级
91,2018年3月30日,多云  /多云,8℃  /  17℃,南风 <3级  /南风 <3级
92,2018年3月31日,多云  /多云,9℃  /  24℃,南风 <3级  /东北风 <3级
93,2019年3月1日,晴  /晴,1℃  /  15℃,南风 1-2级  /南风 1-2级
94,2019年3月2日,霾  /霾,3℃  /  15℃,西南风 3-4级  /西南风 3-4级
95,2019年3月3日,霾  /霾,1℃  /  14℃,西南风 1-2级  /西南风 1-2级
96,2019年3月4日,多云  /多云,2℃  /  16℃,北风 1-2级  /北风 1-2级
97,2019年3月5日,晴  /晴,4℃  /  17℃,西北风 3-4级  /西北风 3-4级
98,2019年3月6日,晴  /晴,-2℃  /  11℃,北风 4-5级  /北风 4-5级
99,2019年3月7日,晴  /晴,-1℃  /  13℃,西南风 1-2级  /西南风 1-2级
100,2019年3月8日,多云  /多云,3℃  /  14℃,南风 1-2级  /南风 1-2级
101,2019年3月9日,阴  /多云,2℃  /  12℃,北风 1-2级  /北风 1-2级
102,2019年3月10日,小雨  /多云,2℃  /  13℃,北风 1-2级  /北风 1-2级
103,2019年3月11日,晴  /晴,1℃  /  16℃,西北风 4-5级  /西北风 4-5级
104,2019年3月12日,晴  /晴,1℃  /  12℃,西北风 3-4级  /西北风 3-4级
105,2019年3月13日,多云  /多云,2℃  /  16℃,西北风 3-4级  /西北风 3-4级
106,2019年3月14日,多云  /多云,4℃  /  16℃,西北风 3-4级  /西北风 3-4级
107,2019年3月15日,多云  /多云,0℃  /  14℃,南风 3-4级  /南风 3-4级
108,2019年3月16日,晴  /晴,2℃  /  19℃,西北风 3-4级  /西北风 3-4级
109,2019年3月17日,晴  /多云,4℃  /  20℃,西南风 3-4级  /西南风 3-4级
110,2019年3月18日,多云  /晴,6℃  /  21℃,南风 1-2级  /南风 1-2级
111,2019年3月19日,多云  /多云,12℃  /  25℃,南风 3-4级  /南风 3-4级
112,2019年3月20日,小雨  /多云,6℃  /  20℃,西北风 1-2级  /西北风 1-2级
113,2019年3月21日,晴  /晴,0℃  /  13℃,北风 4-5级  /北风 4-5级
114,2019年3月22日,晴  /晴,3℃  /  15℃,西北风 3-4级  /西北风 3-4级
115,2019年3月23日,晴  /晴,2℃  /  12℃,西南风 1-2级  /西南风 1-2级
116,2019年3月24日,晴  /晴,4℃  /  19℃,西南风 3-4级  /西南风 3-4级
117,2019年3月25日,晴  /晴,5℃  /  22℃,西北风 3-4级  /西北风 3-4级
118,2019年3月26日,晴  /晴,4℃  /  19℃,东南风 1-2级  /东南风 1-2级
119,2019年3月27日,多云  /多云,4℃  /  21℃,东北风 3-4级  /东北风 3-4级
120,2019年3月28日,多云  /多云,2℃  /  11℃,南风 1-2级  /南风 1-2级
121,2019年3月29日,小雨  /晴,4℃  /  13℃,西北风 3-4级  /西北风 3-4级
122,2019年3月30日,晴  /晴,0℃  /  12℃,西北风 4-5级  /西北风 4-5级
123,2019年3月31日,多云  /多云,2℃  /  16℃,西北风 3-4级  /西北风 3-4级
124,2020年3月1日,晴  /晴,-3℃  /  11℃,西北风 4-5级  /西北风 4-5级
125,2020年3月2日,小雨  /小雨,-1℃  /  11℃,南风 3-4级  /南风 3-4级
126,2020年3月3日,晴  /晴,-3℃  /  8℃,西北风 4-5级  /西北风 4-5级
127,2020年3月4日,晴  /晴,-2℃  /  7℃,西南风 1-2级  /西南风 1-2级
128,2020年3月5日,晴  /多云,-2℃  /  10℃,南风 3-4级  /南风 3-4级
129,2020年3月6日,小雨  /小雨,1℃  /  10℃,北风 1-2级  /北风 1-2级
130,2020年3月7日,晴  /雾,1℃  /  14℃,南风 1-2级  /南风 1-2级
131,2020年3月8日,小雨  /小雨,5℃  /  10℃,北风 1-2级  /北风 1-2级
132,2020年3月9日,多云  /晴,-1℃  /  11℃,东南风 1-2级  /东南风 1-2级
133,2020年3月10日,晴  /晴,-4℃  /  12℃,西北风 3-4级  /西北风 3-4级
134,2020年3月11日,晴  /晴,1℃  /  14℃,西南风 1-2级  /西南风 1-2级
135,2020年3月12日,多云  /晴,-2℃  /  14℃,东北风 4-5级  /东北风 4-5级
136,2020年3月13日,晴  /晴,-2℃  /  10℃,西南风 3-4级  /西南风 3-4级
137,2020年3月14日,晴  /晴,3℃  /  15℃,西北风 4-5级  /西北风 4-5级
138,2020年3月15日,晴  /晴,0℃  /  17℃,东南风 1-2级  /东南风 1-2级
139,2020年3月16日,晴  /晴,3℃  /  15℃,西南风 3-4级  /西南风 3-4级
140,2020年3月17日,晴  /多云,3℃  /  20℃,南风 1-2级  /南风 1-2级
141,2020年3月18日,晴  /晴,5℃  /  23℃,西北风 5-6级  /西北风 5-6级
142,2020年3月19日,晴  /多云,4℃  /  17℃,西北风 3-4级  /西北风 3-4级
143,2020年3月20日,晴  /多云,7℃  /  24℃,西风 1-2级  /西风 1-2级
144,2020年3月21日,晴  /晴,3℃  /  18℃,南风 1-2级  /南风 1-2级
145,2020年3月22日,晴  /晴,7℃  /  22℃,西南风 3-4级  /西南风 3-4级
146,2020年3月23日,晴  /多云,6℃  /  23℃,东南风 3-4级  /东南风 3-4级
147,2020年3月24日,多云  /晴,5℃  /  17℃,南风 1-2级  /南风 1-2级
148,2020年3月25日,多云  /小雨,5℃  /  22℃,东南风 1-2级  /东南风 1-2级
149,2020年3月26日,小雨  /多云,2℃  /  12℃,北风 4-5级  /北风 4-5级
150,2020年3月27日,晴  /晴,0℃  /  13℃,西北风 3-4级  /西北风 3-4级
151,2020年3月28日,晴  /多云,2℃  /  14℃,西南风 3-4级  /西南风 3-4级
152,2020年3月29日,多云  /多云,6℃  /  17℃,西南风 1-2级  /西南风 1-2级
153,2020年3月30日,多云  /多云,7℃  /  18℃,西南风 3-4级  /西南风 3-4级
154,2020年3月31日,小雨  /多云,7℃  /  20℃,东北风 3-4级  /东北风 3-4级
155,2021年3月1日,多云  /多云,-5℃  /  5℃,南风 1-2级  /南风 1-2级
156,2021年3月2日,晴  /晴,-4℃  /  8℃,南风 1-2级  /南风 1-2级
157,2021年3月3日,多云  /阴,-1℃  /  9℃,南风 1-2级  /南风 1-2级
158,2021年3月4日,多云  /多云,3℃  /  10℃,西南风 1-2级  /西南风 1-2级
159,2021年3月5日,小雨  /多云,-2℃  /  8℃,东风 3-4级  /东风 3-4级
160,2021年3月6日,多云  /晴,-4℃  /  4℃,西南风 1-2级  /西南风 1-2级
161,2021年3月7日,多云  /多云,-2℃  /  8℃,西南风 1-2级  /西南风 1-2级
162,2021年3月8日,多云  /多云,1℃  /  10℃,西南风 1-2级  /西南风 1-2级
163,2021年3月9日,晴  /多云,3℃  /  15℃,南风 1-2级  /南风 1-2级
164,2021年3月10日,霾  /阴,7℃  /  15℃,西南风 1-2级  /西南风 1-2级
165,2021年3月11日,霾  /阴,7℃  /  14℃,南风 1-2级  /南风 1-2级
166,2021年3月12日,小雨  /阴,6℃  /  12℃,东风 1-2级  /东风 1-2级
167,2021年3月13日,霾  /阴,8℃  /  16℃,南风 1-2级  /南风 1-2级
168,2021年3月14日,霾  /多云,9℃  /  13℃,南风 3-4级  /南风 3-4级
169,2021年3月15日,沙尘暴  /晴,2℃  /  15℃,北风 3-4级  /北风 3-4级
170,2021年3月16日,浮尘  /多云,3℃  /  14℃,南风 1-2级  /南风 1-2级
171,2021年3月17日,多云  /阴,4℃  /  13℃,南风 1-2级  /南风 1-2级
172,2021年3月18日,小雨  /多云,2℃  /  10℃,东风 1-2级  /东风 1-2级
173,2021年3月19日,小雨  /小雨,5℃  /  11℃,西南风 1-2级  /西南风 1-2级
174,2021年3月20日,浮尘  /晴,3℃  /  15℃,西北风 3-4级  /西北风 3-4级
175,2021年3月21日,晴  /晴,0℃  /  13℃,西北风 3-4级  /西北风 3-4级
176,2021年3月22日,晴  /晴,4℃  /  18℃,西南风 1-2级  /西南风 1-2级
177,2021年3月23日,多云  /多云,8℃  /  21℃,西南风 3-4级  /西南风 3-4级
178,2021年3月24日,晴  /晴,7℃  /  21℃,北风 1-2级  /北风 1-2级
179,2021年3月25日,多云  /多云,11℃  /  22℃,南风 1-2级  /南风 1-2级
180,2021年3月26日,小雨  /阴,9℃  /  15℃,北风 1-2级  /北风 1-2级
181,2021年3月27日,霾  /浮尘,10℃  /  20℃,南风 1-2级  /南风 1-2级
182,2021年3月28日,沙尘暴  /晴,9℃  /  18℃,西北风 3-4级  /西北风 3-4级
183,2021年3月29日,多云  /晴,6℃  /  18℃,西南风 3-4级  /西南风 3-4级
184,2021年3月30日,多云  /多云,9℃  /  21℃,南风 1-2级  /南风 1-2级
185,2021年3月31日,多云  /多云,10℃  /  24℃,东北风 3-4级  /东北风 3-4级0
186,2022年3月1日,晴  /晴,-3℃  /  10℃,西南风 1-2级  /西南风 1-2级
187,2022年3月2日,晴  /晴,1℃  /  14℃,西风 1-2级  /西风 1-2级
188,2022年3月3日,晴  /晴,0℃  /  12℃,东北风 1-2级  /东北风 1-2级
189,2022年3月4日,扬沙  /晴,-1℃  /  13℃,西北风 1-2级  /西北风 1-2级
190,2022年3月5日,晴  /晴,-2℃  /  11℃,西北风 1-2级  /西北风 1-2级
191,2022年3月6日,多云  /多云,-1℃  /  11℃,南风 1-2级  /南风 1-2级
192,2022年3月7日,晴  /晴,2℃  /  16℃,南风 1-2级  /南风 1-2级
193,2022年3月8日,晴  /晴,2℃  /  18℃,东北风 1-2级  /东北风 1-2级
194,2022年3月9日,多云  /多云,4℃  /  17℃,南风 1-2级  /南风 1-2级
195,2022年3月10日,晴  /晴,6℃  /  20℃,东风 1-2级  /东风 1-2级
196,2022年3月11日,多云  /小雨,5℃  /  15℃,东风 1-2级  /东风 1-2级
197,2022年3月12日,小雨  /多云,4℃  /  13℃,西南风 1-2级  /西南风 1-2级
198,2022年3月13日,阴  /多云,4℃  /  14℃,南风 1-2级  /南风 1-2级
199,2022年3月14日,晴  /晴,5℃  /  18℃,西风 1-2级  /西风 1-2级
200,2022年3月15日,晴  /多云,5℃  /  19℃,北风 1-2级  /北风 1-2级
201,2022年3月16日,多云  /阴,2℃  /  13℃,东南风 1-2级  /东南风 1-2级
202,2022年3月17日,雨夹雪  /阴,-1℃  /  3℃,东南风 1-2级  /东南风 1-2级
203,2022年3月18日,中雪  /小雪,-2℃  /  2℃,北风 1-2级  /北风 1-2级
204,2022年3月19日,晴  /多云,-1℃  /  7℃,北风 1-2级  /北风 1-2级
205,2022年3月20日,多云  /多云,1℃  /  11℃,西南风 1-2级  /西南风 1-2级
206,2022年3月21日,晴  /多云,1℃  /  12℃,东北风 1-2级  /东北风 1-2级
207,2022年3月22日,小雨  /多云,1℃  /  11℃,西南风 1-2级  /西南风 1-2级
208,2022年3月23日,多云  /多云,3℃  /  12℃,东北风 1-2级  /东北风 1-2级
209,2022年3月24日,多云  /阴,7℃  /  13℃,南风 1-2级  /南风 1-2级
210,2022年3月25日,阴  /多云,7℃  /  15℃,北风 1-2级  /北风 1-2级
211,2022年3月26日,多云  /多云,3℃  /  19℃,西北风 3-4级  /西北风 3-4级
212,2022年3月27日,晴  /晴,6℃  /  15℃,西南风 1-2级  /西南风 1-2级
213,2022年3月28日,多云  /多云,9℃  /  18℃,南风 3-4级  /南风 3-4级
214,2022年3月29日,小雨  /小雨,6℃  /  13℃,北风 1-2级  /北风 1-2级
215,2022年3月30日,小雨  /多云,3℃  /  12℃,东北风 1-2级  /东北风 1-2级
216,2022年3月31日,晴  /晴,2℃  /  17℃,西北风 1-2级  /西北风 1-2级